Date,Close,moving_avg_7_day
12-11-1999,95.87,95.87
19-11-1999,103.94,99.905
26-11-1999,105,101.6033333
03-12-1999,111.87,104.17
10-12-1999,109,105.136
17-12-1999,110,105.9466667
23-12-1999,108.62,106.3285714
31-12-1999,107.87,108.0428571
07-01-2000,113.5,109.4085714
14-01-2000,119.62,111.4971429
21-01-2000,121.5,112.8728571
28-01-2000,111.56,113.2385714
04-02-2000,115.62,114.0414286
11-02-2000,115.37,115.0057143
18-02-2000,112.5,115.6671429
25-02-2000,108,114.8814286
03-03-2000,108,113.2214286
10-03-2000,105.25,110.9
17-03-2000,110,110.6771429
24-03-2000,120.62,111.3914286
31-03-2000,118.37,111.82
07-04-2000,123.12,113.3371429
14-04-2000,105,112.9085714
20-04-2000,104,112.3371429
28-04-2000,111.5,113.23
05-05-2000,107.87,112.9257143
12-05-2000,104.44,110.6142857
19-05-2000,106.44,108.91
26-05-2000,106.94,106.5985714
02-06-2000,108.81,107.1428571
09-06-2000,119.69,109.3842857
16-06-2000,113.25,109.6342857
23-06-2000,111.87,110.2057143
30-06-2000,109.56,110.9371429
07-07-2000,105.06,110.74
14-07-2000,103.94,110.3114286
21-07-2000,114.75,111.16
28-07-2000,111.81,110.0342857
04-08-2000,115.87,110.4085714
11-08-2000,120.62,111.6585714
18-08-2000,120.44,113.2128571
25-08-2000,129,116.6328571
01-09-2000,133.63,120.8742857
08-09-2000,129.5,122.9814286
15-09-2000,125,124.8657143
22-09-2000,123.87,126.0085714
29-09-2000,112.62,124.8657143
06-10-2000,116,124.2314286
13-10-2000,109.06,121.3828571
20-10-2000,94.75,115.8285714
27-10-2000,93.69,110.7128571
03-11-2000,100.12,107.1585714
10-11-2000,93,102.7485714
17-11-2000,101.94,101.2228571
24-11-2000,99.94,98.92857143
01-12-2000,95.62,97.00857143
08-12-2000,97,97.33
15-12-2000,87.81,96.49
22-12-2000,89,94.90142857
29-12-2000,85,93.75857143
05-01-2001,94,92.62428571
12-01-2001,93.81,91.74857143
19-01-2001,111.25,93.98142857
26-01-2001,114.19,96.43714286
02-02-2001,110.27,99.64571429
09-02-2001,112,102.9314286
16-02-2001,115,107.2171429
23-02-2001,104,108.6457143
02-03-2001,102.3,109.8585714
09-03-2001,99.29,108.15
16-03-2001,90.1,104.7085714
23-03-2001,93.51,102.3142857
30-03-2001,96.18,100.0542857
06-04-2001,97.95,97.61857143
12-04-2001,96.2,96.50428571
20-04-2001,114.83,98.29428571
27-04-2001,116.2,100.71
04-05-2001,115.86,104.39
11-05-2001,111.81,107.0042857
18-05-2001,117.44,110.0414286
25-05-2001,117.8,112.8771429
01-06-2001,112.89,115.2614286
08-06-2001,116.1,115.4428571
15-06-2001,113.6,115.0714286
22-06-2001,112.87,114.6442857
29-06-2001,113.5,114.8857143
06-07-2001,106.5,113.3228571
13-07-2001,108.53,111.9985714
20-07-2001,105.7,110.9714286
27-07-2001,104.7,109.3428571
03-08-2001,108.18,108.5685714
10-08-2001,104.95,107.4371429
17-08-2001,104.59,106.1642857
24-08-2001,106.99,106.2342857
31-08-2001,99.95,105.0085714
07-09-2001,96.59,103.7071429
10-09-2001,96.47,102.5314286
21-09-2001,90.5,100.0057143
28-09-2001,91.72,98.11571429
05-10-2001,98.02,97.17714286
12-10-2001,100.84,96.29857143
19-10-2001,102.65,96.68428571
26-10-2001,111.16,98.76571429
02-11-2001,109.5,100.6271429
09-11-2001,114.08,103.9957143
16-11-2001,114.5,107.25
23-11-2001,115.35,109.7257143
30-11-2001,115.59,111.8328571
07-12-2001,120.4,114.3685714
14-12-2001,121.1,115.7885714
21-12-2001,122,117.5742857
28-12-2001,122.9,118.8342857
04-01-2002,125.6,120.42
11-01-2002,120.31,121.1285714
18-01-2002,114.25,120.9371429
25-01-2002,109.28,119.3485714
01-02-2002,108,117.4771429
08-02-2002,104.99,115.0471429
15-02-2002,102.89,112.1885714
22-02-2002,98.45,108.31
01-03-2002,103.02,105.84
08-03-2002,105.09,104.5314286
15-03-2002,106.79,104.1757143
22-03-2002,105.6,103.8328571
28-03-2002,104,103.6914286
05-04-2002,97.25,102.8857143
12-04-2002,85.6,101.05
19-04-2002,89,99.04714286
26-04-2002,84.71,96.13571429
03-05-2002,81.78,92.56285714
10-05-2002,79.68,88.86
17-05-2002,85.69,86.24428571
24-05-2002,83.1,84.22285714
31-05-2002,80.45,83.48714286
07-06-2002,78.3,81.95857143
14-06-2002,76.17,80.73857143
21-06-2002,68.75,78.87714286
28-06-2002,72,77.78
05-07-2002,73.5,76.03857143
12-07-2002,69.21,74.05428571
19-07-2002,72,72.84714286
26-07-2002,66.4,71.14714286
02-08-2002,67.88,69.96285714
09-08-2002,71.83,70.40285714
16-08-2002,79.35,71.45285714
23-08-2002,80.4,72.43857143
30-08-2002,75.38,73.32
06-09-2002,73.2,73.49142857
13-09-2002,72.5,74.36285714
20-09-2002,63.92,73.79714286
27-09-2002,60.36,72.15857143
04-10-2002,56.6,68.90857143
11-10-2002,63.92,66.55428571
18-10-2002,74.25,66.39285714
25-10-2002,74.56,66.58714286
01-11-2002,80.4,67.71571429
08-11-2002,77.59,69.66857143
15-11-2002,80.01,72.47571429
22-11-2002,84.43,76.45142857
29-11-2002,86.92,79.73714286
06-12-2002,82.32,80.89
13-12-2002,80,81.66714286
20-12-2002,79.79,81.58
27-12-2002,77.36,81.54714286
03-01-2003,81.65,81.78142857
10-01-2003,87.68,82.24571429
17-01-2003,81.3,81.44285714
24-01-2003,78.99,80.96714286
31-01-2003,78.2,80.71
07-02-2003,77.1,80.32571429
14-02-2003,77.45,80.33857143
21-02-2003,79.95,80.09571429
28-02-2003,77.95,78.70571429
07-03-2003,77.9,78.22
14-03-2003,79,78.22142857
21-03-2003,84.9,79.17857143
28-03-2003,80.85,79.71428571
04-04-2003,80.79,80.19142857
11-04-2003,78.75,80.02
17-04-2003,84.26,80.92142857
25-04-2003,83.88,81.77571429
02-05-2003,87.57,83
09-05-2003,87.55,83.37857143
16-05-2003,88.99,84.54142857
23-05-2003,85.26,85.18
30-05-2003,88.04,86.50714286
06-06-2003,80.05,85.90571429
13-06-2003,82.75,85.74428571
20-06-2003,84.92,85.36571429
27-06-2003,83.42,84.77571429
03-07-2003,83.95,84.05571429
11-07-2003,84.89,84.00285714
18-07-2003,83.72,83.38571429
25-07-2003,83.55,83.88571429
01-08-2003,81.27,83.67428571
08-08-2003,80.88,83.09714286
15-08-2003,81.79,82.86428571
22-08-2003,82.97,82.72428571
29-08-2003,82.01,82.31285714
05-09-2003,86.95,82.77428571
12-09-2003,88.7,83.51
19-09-2003,93.28,85.22571429
26-09-2003,89.05,86.39285714
03-10-2003,90.64,87.65714286
10-10-2003,92.67,89.04285714
17-10-2003,89.23,90.07428571
24-10-2003,88.42,90.28428571
31-10-2003,89.48,90.39571429
07-11-2003,88.26,89.67857143
14-11-2003,90.25,89.85
21-11-2003,88.63,89.56285714
28-11-2003,90.54,89.25857143
05-12-2003,90.64,89.46
12-12-2003,92.71,90.07285714
19-12-2003,93.14,90.59571429
26-12-2003,92.9,91.25857143
02-01-2004,91.55,91.44428571
09-01-2004,91.21,91.81285714
16-01-2004,95.32,92.49571429
23-01-2004,97.9,93.53285714
30-01-2004,99.23,94.46428571
06-02-2004,98.94,95.29285714
13-02-2004,99.71,96.26571429
20-02-2004,97.31,97.08857143
27-02-2004,96.5,97.84428571
05-03-2004,96.45,98.00571429
12-03-2004,93.3,97.34857143
19-03-2004,91.62,96.26142857
26-03-2004,92.77,95.38
02-04-2004,94.2,94.59285714
08-04-2004,93.12,93.99428571
16-04-2004,92.28,93.39142857
23-04-2004,91.28,92.65285714
30-04-2004,88.17,91.92
07-05-2004,88.19,91.43
14-05-2004,86.41,90.52142857
21-05-2004,87.13,89.51142857
28-05-2004,88.59,88.86428571
04-06-2004,87.56,88.19
10-06-2004,90.46,88.07285714
18-06-2004,90.06,88.34285714
25-06-2004,89.55,88.53714286
02-07-2004,87.04,88.62714286
09-07-2004,83.89,88.16428571
16-07-2004,84.28,87.54857143
23-07-2004,84.85,87.16142857
30-07-2004,87.07,86.67714286
06-08-2004,83.48,85.73714286
13-08-2004,83.91,84.93142857
20-08-2004,85.25,84.67571429
27-08-2004,84.94,84.82571429
03-09-2004,84.39,84.84142857
10-09-2004,86.76,85.11428571
17-09-2004,85.74,84.92428571
24-09-2004,84.43,85.06
01-10-2004,86.72,85.46142857
08-10-2004,86.71,85.67
15-10-2004,84.85,85.65714286
22-10-2004,87.39,86.08571429
29-10-2004,89.75,86.51285714
05-11-2004,93.28,87.59
12-11-2004,95.32,89.14571429
19-11-2004,94.45,90.25
26-11-2004,94.72,91.39428571
03-12-2004,97.08,93.14142857
10-12-2004,96.67,94.46714286
17-12-2004,96.2,95.38857143
23-12-2004,97.72,96.02285714
31-12-2004,98.58,96.48857143
07-01-2005,95.78,96.67857143
14-01-2005,94.1,96.59
21-01-2005,92.38,95.91857143
28-01-2005,92.89,95.37857143
04-02-2005,94.51,95.13714286
11-02-2005,93.3,94.50571429
18-02-2005,93.27,93.74714286
25-02-2005,92.8,93.32142857
04-03-2005,92.37,93.07428571
11-03-2005,91.51,92.95
18-03-2005,89.28,92.43428571
24-03-2005,90.7,91.89
01-04-2005,90.44,91.48142857
08-04-2005,87.6,90.67142857
15-04-2005,76.7,88.37142857
22-04-2005,74.21,85.77714286
29-04-2005,76.38,83.61571429
06-05-2005,75.26,81.61285714
13-05-2005,73.16,79.10714286
20-05-2005,76.41,77.10285714
27-05-2005,77.1,75.60285714
03-06-2005,75.79,75.47285714
10-06-2005,74.77,75.55285714
17-06-2005,76.39,75.55428571
24-06-2005,74.01,75.37571429
01-07-2005,74.67,75.59142857
08-07-2005,79.3,76.00428571
15-07-2005,82.38,76.75857143
22-07-2005,84.44,77.99428571
29-07-2005,83.46,79.23571429
05-08-2005,83.36,80.23142857
12-08-2005,82.19,81.4
19-08-2005,82.76,82.55571429
26-08-2005,80.38,82.71
02-09-2005,79.46,82.29285714
09-09-2005,81.44,81.86428571
16-09-2005,80.33,81.41714286
23-09-2005,78,80.65142857
30-09-2005,80.22,80.37
07-10-2005,80.5,80.04714286
14-10-2005,82.35,80.32857143
21-10-2005,83.33,80.88142857
28-10-2005,81.42,80.87857143
04-11-2005,83,81.26
11-11-2005,84.55,82.19571429
18-11-2005,87.77,83.27428571
25-11-2005,88.8,84.46
02-12-2005,88.65,85.36
09-12-2005,86.97,85.88
16-12-2005,83.37,86.15857143
23-12-2005,83.48,86.22714286
30-12-2005,82.2,85.89142857
06-01-2006,84.95,85.48857143
13-01-2006,83.17,84.68428571
20-01-2006,81.36,83.64285714
27-01-2006,81.02,82.79285714
03-02-2006,79.97,82.30714286
10-02-2006,81.33,82
17-02-2006,80.71,81.78714286
24-02-2006,80.1,81.09428571
03-03-2006,79.96,80.63571429
10-03-2006,81.57,80.66571429
17-03-2006,83.3,80.99142857
24-03-2006,83.36,81.47571429
31-03-2006,82.47,81.63857143
07-04-2006,82.48,81.89142857
13-04-2006,81.98,82.16
21-04-2006,81.66,82.40285714
28-04-2006,82.34,82.51285714
05-05-2006,82.98,82.46714286
12-05-2006,82.39,82.32857143
19-05-2006,80.28,82.01571429
26-05-2006,80.75,81.76857143
02-06-2006,79.52,81.41714286
09-06-2006,78.01,80.89571429
16-06-2006,77.95,80.26857143
23-06-2006,77.1,79.42857143
30-06-2006,76.82,78.63285714
07-07-2006,76.42,78.08142857
14-07-2006,73.57,77.05571429
21-07-2006,74.86,76.39
28-07-2006,76.96,76.24
04-08-2006,75.91,75.94857143
11-08-2006,75.48,75.71714286
18-08-2006,79.9,76.15714286
25-08-2006,79.88,76.65142857
01-09-2006,81.41,77.77142857
08-09-2006,80.66,78.6
15-09-2006,82.94,79.45428571
22-09-2006,81.21,80.21142857
29-09-2006,81.94,81.13428571
06-10-2006,83.14,81.59714286
13-10-2006,86.08,82.48285714
20-10-2006,90.48,83.77857143
27-10-2006,90.76,85.22142857
03-11-2006,91.41,86.43142857
10-11-2006,91.76,87.93857143
17-11-2006,93.81,89.63428571
24-11-2006,93.35,91.09285714
01-12-2006,91.25,91.83142857
08-12-2006,93.86,92.31428571
15-12-2006,95.3,92.96285714
22-12-2006,95.25,93.51142857
29-12-2006,97.15,94.28142857
05-01-2007,97.42,94.79714286
12-01-2007,99.34,95.65285714
19-01-2007,96.17,96.35571429
26-01-2007,97.45,96.86857143
02-02-2007,99.17,97.42142857
09-02-2007,98.55,97.89285714
16-02-2007,98.99,98.15571429
23-02-2007,97.73,98.2
02-03-2007,90.9,96.99428571
09-03-2007,93.28,96.58142857
16-03-2007,93.25,95.98142857
23-03-2007,95.03,95.39
30-03-2007,94.26,94.77714286
05-04-2007,96.52,94.42428571
13-04-2007,94.93,94.02428571
20-04-2007,94.58,94.55
27-04-2007,101.17,95.67714286
04-05-2007,102.96,97.06428571
11-05-2007,105.98,98.62857143
18-05-2007,107.99,100.59
25-05-2007,105.18,101.8271429
01-06-2007,106.54,103.4857143
08-06-2007,103.07,104.6985714
15-06-2007,105.09,105.2585714
22-06-2007,104.44,105.47
29-06-2007,105.25,105.3657143
06-07-2007,109.03,105.5142857
13-07-2007,108.6,106.0028571
20-07-2007,114.81,107.1842857
27-07-2007,115.62,108.9771429
03-08-2007,111.89,109.9485714
10-08-2007,112.64,111.12
17-08-2007,110.9,111.9271429
24-08-2007,113.24,112.5285714
31-08-2007,116.69,113.6842857
07-09-2007,115.55,113.79
14-09-2007,115.13,113.72
21-09-2007,116.78,114.4185714
28-09-2007,117.8,115.1557143
05-10-2007,116.3,115.9271429
12-10-2007,117.81,116.58
19-10-2007,112.28,115.95
26-10-2007,113.73,115.69
02-11-2007,114.59,115.6128571
09-11-2007,100.2542,113.2520286
16-11-2007,104.79,111.3934571
23-11-2007,104.05,109.6434571
30-11-2007,105.18,107.8391714
07-12-2007,108.86,107.3506
14-12-2007,105.77,106.2134571
21-12-2007,111.05,105.7077429
28-12-2007,110.09,107.1128571
04-01-2008,101.13,106.59
11-01-2008,97.67,105.6785714
18-01-2008,103.4,105.4242857
25-01-2008,104.52,104.8042857
01-02-2008,109.08,105.2771429
08-02-2008,103.27,104.1657143
15-02-2008,106.16,103.6042857
22-02-2008,108.07,104.5957143
29-02-2008,113.86,106.9085714
07-03-2008,113.94,108.4142857
14-03-2008,115.2301,109.9443
20-03-2008,118.33,111.2657286
28-03-2008,114.57,112.8800143
04-04-2008,115.76,114.2514429
11-04-2008,116,115.3843
18-04-2008,124.4,116.8900143
25-04-2008,123.08,118.1957286
02-05-2008,123.18,119.3314286
09-05-2008,124.06,120.15
16-05-2008,127.82,122.0428571
23-05-2008,124.2,123.2485714
30-05-2008,129.43,125.1671429
06-06-2008,124.94,125.2442857
13-06-2008,126.15,125.6828571
20-06-2008,122.74,125.62
27-06-2008,120.05,125.0471429
03-07-2008,119.54,123.8642857
11-07-2008,122.12,123.5671429
18-07-2008,129.89,123.6328571
25-07-2008,128.53,124.1457143
01-08-2008,126.64,124.2157143
08-08-2008,128.81,125.0828571
15-08-2008,126.36,125.9842857
22-08-2008,124.93,126.7542857
29-08-2008,121.73,126.6985714
05-09-2008,114.33,124.4757143
12-09-2008,118.97,123.11
19-09-2008,118.85,121.9971429
26-09-2008,119.42,120.6557143
03-10-2008,103.44,117.3814286
10-10-2008,87.75,112.07
