Date,high,low,price_range
26-01-2024,196.9,172.4,24.5
13-03-2020,124.88,100.81,24.07
20-10-2000,113.87,90.25,23.62
27-03-2020,113.15,90.56,22.59
14-04-2000,125.37,102.87,22.5
19-04-2013,212,189.76,22.24
19-01-2001,113.94,91.81,22.13
22-11-2024,227.2,205.3701,21.8299
28-02-2020,148.05,126.36,21.69
20-04-2001,116.4,95.2,21.2
10-10-2008,103,83.51,19.49
26-04-2024,184.68,165.66,19.02
25-10-2024,233.34,214.385,18.955
22-10-2021,144.94,126.611,18.329
12-06-2020,135.88,117.84,18.04
19-10-2012,211,193.18,17.82
20-04-2018,162,144.51,17.49
19-10-2018,145.45,127.96,17.49
05-08-2011,183.69,166.52,17.17
19-08-2011,174,157.13,16.87
21-07-2000,117.81,101,16.81
29-09-2000,126.62,110.25,16.37
22-04-2022,141.88,125.53,16.35
20-10-2017,162.48,146.18,16.3
13-10-2000,119.37,103.12,16.25
05-01-2001,99.75,83.75,16
09-11-2007,115.11,99.27,15.84
03-10-2008,118.43,103.03,15.4
23-02-2001,115.6,100.25,15.35
17-07-2009,115.53,100.19,15.34
22-07-2022,140.31,125.13,15.18
31-10-2008,94.19,79.01,15.18
22-01-2021,132.24,117.36,14.88
07-02-2020,158.75,143.9,14.85
07-10-2011,183.72,168.88,14.84
13-09-2024,216.09,201.43,14.66
17-10-2008,99,84.35,14.65
25-01-2013,208.58,194.01,14.57
10-12-1999,122.12,107.56,14.56
24-10-2008,93.31,78.82,14.49
09-10-2020,135.5,121.05,14.45
18-10-2013,186.99,172.57,14.42
22-12-2000,94.44,80.06,14.38
24-07-2015,173.78,159.41,14.37
23-10-2020,127.35,112.98,14.37
16-12-2022,153.21,138.97,14.24
16-09-2011,172.99,158.76,14.23
07-05-2010,130.14,116,14.14
22-01-2016,132.1,118,14.1
09-02-2018,158.5,144.4,14.1
21-10-2011,190.16,176.17,13.99
09-06-2000,122.31,108.44,13.87
20-07-2012,196.85,183.2,13.65
25-01-2019,135,121.54,13.46
26-07-2024,196.26,182.86,13.4
19-09-2008,124,110.61,13.39
28-01-2022,137.3361,124.193,13.1431
20-04-2000,115.12,102.06,13.06
07-04-2000,128,115.06,12.94
24-04-2020,125,112.06,12.94
06-12-2024,238.38,225.51,12.87
28-01-2000,122.87,110.06,12.81
09-04-2020,122.92,110.13,12.79
01-11-2024,216.25,203.51,12.74
18-10-2002,74.25,61.54,12.71
20-03-2020,107.41,94.71,12.7
14-11-2008,88.1,75.4,12.7
28-04-2000,113.94,101.25,12.69
19-02-2016,134,121.34,12.66
20-05-2022,138.37,125.8,12.57
21-06-2013,206.09,193.5401,12.5499
15-05-2020,124.32,111.81,12.51
19-11-1999,105.12,92.62,12.5
16-12-2011,194.3,181.91,12.39
24-03-2000,122.25,109.94,12.31
03-11-2000,102.62,90.31,12.31
23-04-2021,144.74,132.58,12.16
21-04-2017,171.69,159.6,12.09
21-01-2000,124.75,112.69,12.06
22-07-2011,185.63,173.58,12.05
23-09-2011,177.67,165.76,11.91
26-08-2011,169.33,157.62,11.71
17-04-2014,198.71,187.01,11.7
08-12-2000,104.75,93.12,11.63
06-03-2020,136.1,124.52,11.58
13-12-2024,239.35,227.8,11.55
30-09-2016,165,153.46,11.54
21-11-2008,81,69.5,11.5
18-10-2019,143.72,132.25,11.47
27-04-2012,208.17,196.791,11.379
23-03-2018,159.89,148.54,11.35
15-11-2024,215.41,204.07,11.34
15-04-2005,87.56,76.33,11.23
31-03-2000,128.25,117.06,11.19
08-11-2024,216.7,205.57,11.13
08-03-2024,198.73,187.6,11.13
09-08-2024,192.88,181.81,11.07
06-10-2000,119.62,108.56,11.06
30-09-2011,180.91,169.86,11.05
15-12-2000,98.25,87.31,10.94
17-11-2000,102.5,91.62,10.88
03-04-2009,102.66,91.8,10.86
05-09-2008,124,113.17,10.83
11-10-2024,235.83,225.02,10.81
12-08-2011,172.61,161.85,10.76
17-04-2020,125.18,114.42,10.76
24-01-2014,190.39,179.64,10.75
10-11-2000,103.75,93,10.75
03-12-1999,112.87,102.12,10.75
16-03-2001,98.9,88.2,10.7
23-10-2015,149.97,139.3,10.67
03-05-2013,205.319,194.65,10.669
02-12-2011,191.33,180.67,10.66
12-02-2016,127.51,116.901,10.609
21-05-2010,131.99,121.4,10.59
22-04-2016,153.14,142.61,10.53
07-11-2008,94.76,84.25,10.51
09-03-2001,108.4,97.9,10.5
03-03-2000,110,99.5,10.5
01-07-2016,152.97,142.5,10.47
27-02-2009,93.28,82.85,10.43
11-11-2016,161.34,151,10.34
27-05-2022,139.7394,129.42,10.3194
12-10-2018,149.07,138.78,10.29
04-10-2024,226.08,215.798,10.282
18-03-2011,161.9804,151.71,10.2704
17-08-2007,113.95,103.7,10.25
05-06-2020,134.23,124.03,10.2
26-10-2001,112.1,101.9,10.2
02-03-2001,107.65,97.5,10.15
20-04-2012,207.64,197.521,10.119
18-07-2008,130,119.9,10.1
23-02-2024,188.77,178.75,10.02
24-04-2015,171.91,161.9,10.01
25-08-2000,129.88,119.87,10.01
27-01-2023,142.985,132.98,10.005
10-03-2000,111,101,10
06-04-2001,100,90.05,9.95
30-01-2015,159.46,149.52,9.94
11-10-2002,63.92,54.01,9.91
19-12-2014,160.41,150.5,9.91
23-06-2000,120.69,110.81,9.88
07-07-2000,109.87,100,9.87
02-11-2018,123.95,114.09,9.86
23-01-2009,91.6,81.76,9.84
21-12-2018,120.27,110.44,9.83
19-01-2018,171.13,161.3,9.83
13-09-2013,193.1,183.31,9.79
09-08-2019,145.1,135.35,9.75
01-12-2000,102,92.25,9.75
12-07-2024,184.16,174.45,9.71
07-01-2022,142.2,132.51,9.69
20-01-2012,188.97,179.32,9.65
19-07-2019,151.58,141.95,9.63
27-10-2017,162.51,152.911,9.599
06-07-2001,115.4,105.81,9.59
12-04-2024,191.25,181.685,9.565
21-06-2002,77.75,68.19,9.56
20-09-2002,73.45,63.9,9.55
04-01-2008,110,100.48,9.52
02-02-2018,168.39,158.87,9.52
01-06-2012,198.08,188.6,9.48
10-06-2022,144.73,135.25,9.48
18-04-2008,125,115.54,9.46
01-07-2011,174.65,165.21,9.44
21-10-2022,130.845,121.43,9.415
16-08-2002,79.98,70.61,9.37
05-01-2018,162.9,153.54,9.36
31-08-2001,108.2,98.86,9.34
04-02-2000,118.44,109.12,9.32
