Date,Volume,price_change_percentage
10-10-2008,86848900,-13.29908112
20-04-2001,77541600,19.36590437
06-03-2009,74483600,-5.879126906
20-10-2000,73706800,-15.02242152
21-11-2008,73411500,-5.692695214
18-10-2002,72253200,20.65323367
06-06-2003,69955400,-10.05617978
16-03-2001,69318700,-7.967313585
20-10-2006,67866100,5.111524164
18-04-2008,67195200,7.056798623
11-10-2002,67066500,12.93286219
22-07-2022,66246811,-8.490902604
03-04-2009,64912500,11.10869565
26-07-2002,64004300,-6.807017544
03-10-2008,62809100,-11.92098093
09-11-2007,62718300,-12.90574233
15-04-2005,62144400,-12.19232971
22-01-2021,61879427,-8.253403465
13-03-2009,61831600,6.682408501
19-11-1999,61550800,8.270833333
23-01-2009,61309500,5.580462482
31-10-2008,60537100,15.82160209
20-09-2002,59733100,-11.22222222
22-10-2021,59731582,-11.19444444
18-07-2008,59542700,6.642036125
19-07-2002,59368700,5.263157895
27-09-2002,59368300,-5.317647059
17-07-2009,58793700,13.96129542
24-10-2008,58306900,-10.99663811
27-04-2007,58275300,6.103828002
14-11-2008,58194400,-8.70553472
21-03-2003,58133300,8.846153846
25-01-2008,57768700,5.405405405
28-06-2002,56342200,7.063197026
26-01-2024,56232762,8.448096285
20-10-2017,56148944,10.08694471
01-11-2002,56125400,6.986027944
20-07-2007,55626100,5.747444045
13-03-2020,55580046,-10.1614514
19-01-2001,55406000,18.66666667
29-02-2008,54366700,5.73922734
06-02-2009,53659500,6.114790287
17-01-2003,53450200,-7.937945872
21-07-2000,52881600,9.871696668
28-01-2022,52800401,5.08633487
02-03-2007,52427400,-7.112201104
08-11-2002,52109900,-5.366508111
21-06-2002,51132700,-9.753216067
20-04-2018,51127683,-8.285334515
19-10-2018,50928336,-8.035332668
23-10-2020,50486636,-8.517350158
12-07-2002,50325700,-5.191780822
10-01-2003,50004000,7.057387057
09-11-2018,48482997,6.408268734
19-08-2011,47511700,-8.043427504
23-04-2021,47246234,6.609281437
22-04-2022,47056765,9.20221169
07-11-2008,47015300,-6.876079447
05-10-2001,46507700,6.86873092
01-05-2009,46394300,5.019576348
18-10-2013,45663100,-6.272585082
31-03-2000,44498000,-5.304
05-01-2001,44240800,11.24260355
22-01-2016,44203492,-5.848897087
25-01-2019,44147478,8.653690187
07-02-2020,43694755,6.350086655
12-11-1999,43569700,5.933701657
21-12-2007,43481700,5.390528613
26-10-2001,43172300,8.290306868
07-05-2010,43103500,-5.634129376
23-02-2001,42890800,-9.209951986
16-08-2002,42544100,11.68191414
26-04-2024,42329269,-8.396821047
17-04-2003,42212300,7.337579618
14-04-2000,42149600,-15.83166333
05-09-2008,42011600,-6.95043542
15-12-2000,41477400,-9.005181347
06-12-2002,41270300,-7.088036117
05-08-2011,41229200,-5.268346112
05-09-2003,41027800,5.52184466
27-03-2020,39907532,14.19661734
03-11-2000,39746400,7.080213904
28-11-2008,39691800,7.736994983
21-12-2018,39485288,-6.827916352
