date,open,high,low,close,adjusted close,volume,dividend amount
13-12-2024,238,239.35,227.8,230.82,230.82,20886084,0
06-12-2024,227.5,238.38,225.51,238.04,238.04,18743737,0
29-11-2024,223.35,230.36,222.65,227.41,227.41,17274177,0
22-11-2024,207,227.2,205.3701,222.97,222.97,21386866,0
15-11-2024,214.4,215.41,204.07,204.99,204.99,19438346,1.67
08-11-2024,207.65,216.7,205.57,213.72,212.0406,15846890,0
01-11-2024,215.5,216.25,203.51,208.25,206.6136,26467891,0
25-10-2024,231.21,233.34,214.385,214.67,212.9832,31380820,0
18-10-2024,233.57,237.37,230.17,232.2,230.3754,18477394,0
11-10-2024,225.38,235.83,225.02,233.26,231.4271,18398213,0
04-10-2024,220.65,226.08,215.798,226,224.2242,17778630,0
27-09-2024,218,224.15,217.27,220.84,219.1047,16300165,0
20-09-2024,215.88,218.84,210.37,217.7,215.9894,28532770,0
13-09-2024,201.94,216.09,201.43,214.79,213.1022,21518747,0
06-09-2024,201.91,205.95,199.335,200.74,199.1626,13519865,0
30-08-2024,196,202.17,195.9,202.13,200.5417,15570283,0
23-08-2024,193.84,197.92,193.715,196.1,194.5591,11022549,0
16-08-2024,191.25,194.35,189.0001,193.78,192.2573,11330854,0
09-08-2024,184.55,192.88,181.81,191.45,189.9456,18895865,1.67
02-08-2024,193.18,194.5499,185.7,189.12,186.0114,20594367,0
26-07-2024,183.4,196.26,182.86,191.75,188.5982,25458498,0
19-07-2024,183.38,189.47,181.95,183.25,180.2379,17829469,0
12-07-2024,176.41,184.16,174.45,182.83,179.8248,16071235,0
05-07-2024,173.45,177.98,173.38,176.02,173.1267,9939255,0
28-06-2024,175,178.4599,170.41,172.95,170.1072,18850478,0
21-06-2024,168.76,174.96,167.5,172.46,169.6252,21531360,0
14-06-2024,169.55,172.47,166.81,169.21,166.4287,16222067,0
07-06-2024,166.54,171.305,163.53,170.01,167.2155,14102396,0
31-05-2024,170.44,171.085,163.84,166.85,164.1074,15594186,0
24-05-2024,169,175.46,168.38,170.89,168.081,18410125,0
17-05-2024,167.5,169.63,166.48,169.03,166.2516,15933303,0
10-05-2024,166.5,170.26,165.88,167.15,164.4025,17421523,1.67
03-05-2024,167.4,168.22,162.62,165.71,161.3654,22536194,0
26-04-2024,182.45,184.68,165.66,167.13,162.7482,42329269,0
19-04-2024,185.57,187.48,180.17,181.58,176.8194,16929550,0
12-04-2024,189.24,191.25,181.685,182.27,177.4913,14955313,0
05-04-2024,190,193.28,187.34,189.14,184.1812,12808073,0
28-03-2024,190.26,191.9299,188.5,190.96,185.9534,15383298,0
22-03-2024,191.7,193.98,190.01,190.84,185.8366,23968505,0
15-03-2024,195.09,199.18,190.7,191.07,186.0606,27466323,0
08-03-2024,187.76,198.73,187.6,195.95,190.8126,29085296,0
01-03-2024,185.6,188.38,182.62,188.2,183.2658,21955379,0
